Kommunenummer	Stadnamn	Prioritet	Kommune	Fylke	Nynorsk	Bokmål	Engelsk
1826	Åkervik	60	Hattfjelldal	Nordland	http://www.yr.no/stad/Noreg/Nordland/Hattfjelldal/Åkervik/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Hattfjelldal/Åkervik/varsel.xml	http://www.yr.no/place/Norway/Nordland/Hattfjelldal/Åkervik/varsel.xml
1826	Varntresk	40	Hattfjelldal	Nordland	http://www.yr.no/stad/Noreg/Nordland/Hattfjelldal/Varntresk/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Hattfjelldal/Varntresk/varsel.xml	http://www.yr.no/place/Norway/Nordland/Hattfjelldal/Varntresk/varsel.xml
1827	Solfjellsjøen	30	Dønna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Dønna/Solfjellsjøen/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Dønna/Solfjellsjøen/varsel.xml	http://www.yr.no/place/Norway/Nordland/Dønna/Solfjellsjøen/varsel.xml
1827	Åsvær	60	Dønna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Dønna/Åsvær/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Dønna/Åsvær/varsel.xml	http://www.yr.no/place/Norway/Nordland/Dønna/Åsvær/varsel.xml
1827	Kopardal	50	Dønna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Dønna/Kopardal/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Dønna/Kopardal/varsel.xml	http://www.yr.no/place/Norway/Nordland/Dønna/Kopardal/varsel.xml
1827	Nordøyvågen	50	Dønna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Dønna/Nordøyvågen/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Dønna/Nordøyvågen/varsel.xml	http://www.yr.no/place/Norway/Nordland/Dønna/Nordøyvågen/varsel.xml
1827	Vandved	50	Dønna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Dønna/Vandved/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Dønna/Vandved/varsel.xml	http://www.yr.no/place/Norway/Nordland/Dønna/Vandved/varsel.xml
1828	Nesna	30	Nesna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Nesna/Nesna/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Nesna/Nesna/varsel.xml	http://www.yr.no/place/Norway/Nordland/Nesna/Nesna/varsel.xml
1828	Kiløya	60	Nesna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Nesna/Kiløya/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Nesna/Kiløya/varsel.xml	http://www.yr.no/place/Norway/Nordland/Nesna/Kiløya/varsel.xml
1828	Husby	50	Nesna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Nesna/Husby/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Nesna/Husby/varsel.xml	http://www.yr.no/place/Norway/Nordland/Nesna/Husby/varsel.xml
